school,DBN,district,lat,long,address,City,zip,commSchool,eni,income,pctELL,pctAsian,pctBlack,pctHispanic,pctBlackHispanic,pctWhite,pctAttend,pctAbsentChronic,pctRigor,ratingRigor,pctCollab,ratingCollab,pctSupp,ratingSupp,pctLeader,ratingLeader,pctCommunity,ratingCommunity,pctTrust,ratingTrust,Student Achievement Rating,avgELA,avgMath,elaAll,elaAll4,elaBlack,elaHispanic,elaAsian,elaWhite,mathAll,mathAll4,mathBlack,mathHispanic,mathAsian,mathWhite,enroll,registered,took,regPct,tookPct,yield,academicScore,quantRigor,quantCollab,quantSupp,quantLeader,quantCommunity,quantTrust,pctELA4,pctELABlack,pctELAHispanic,pctELAAsian,pctELAWhite,pctMath4,pctMathBlack,pctMathHispanic,pctMathAsian,pctMathWhite,URM4
THE EAST VILLAGE COMMUNITY SCHOOL,01M315,1,40.727726,-73.978382,"610 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,No,0.362,63760,0.01,0.09,0.09,0.21,0.29,0.55,0.95,0.11,0.9,Meeting Target,0.93,Exceeding Target,0.94,Meeting Target,0.93,Exceeding Target,0.97,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.86,3.2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.0600000000000005,3,4,3,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,01M332,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,No,0.771,NA,0.15,0.05,0.27,0.63,0.9,0.04,0.92,0.26,0.92,Exceeding Target,0.96,Meeting Target,0.92,Exceeding Target,0.96,Exceeding Target,0.86,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.26,2.2,28,3,0,2,0,0,30,1,0,0,0,0,NA,NA,NA,NA,NA,NA,4.46,4,3,4,4,4,4,0.10714285714285714,0,0.6666666666666666,0,0,1,0,0,0,0,2
THE CHILDREN'S WORKSHOP SCHOOL,01M361,1,40.727726,-73.978382,"610 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,No,0.451,62519.57,0.07,0.1,0.1,0.39,0.49,0.38,0.93,0.23,0.97,Meeting Target,0.97,Meeting Target,0.97,Meeting Target,0.96,Exceeding Target,0.93,Exceeding Target,0.94,Meeting Target,Meeting Target,2.89,2.99,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.880000000000001,3,3,3,4,4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NEIGHBORHOOD SCHOOL,01M363,1,40.724404,-73.98636,"121 E 3RD ST NEW YORK, NY 10009",NEW YORK,10009,No,0.43,57504.48,0.04,0.05,0.13,0.34,0.47,0.45,0.93,0.23,0.99,Exceeding Target,0.97,Exceeding Target,0.95,Meeting Target,0.96,Exceeding Target,0.95,Exceeding Target,0.99,Exceeding Target,Approaching Target,2.55,2.68,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.23,4,4,3,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
EARTH SCHOOL,01M364,1,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,No,0.448,56787.2,0.06,0.07,0.13,0.35,0.48,0.37,0.94,0.15,0.96,Exceeding Target,0.99,Exceeding Target,0.96,Exceeding Target,0.98,Exceeding Target,0.96,Exceeding Target,0.98,Exceeding Target,Meeting Target,3.1,3.08,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.18,4,4,4,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
SCHOOL FOR GLOBAL LEADERS,01M378,1,40.720185,-73.985957,"145 STANTON ST NEW YORK, NY 10002",NEW YORK,10002,No,0.764,NA,0.08,0.15,0.22,0.58,0.81,0.02,0.92,0.27,0.79,Meeting Target,0.87,Meeting Target,0.82,Meeting Target,0.77,Approaching Target,0.76,Approaching Target,0.88,Meeting Target,Exceeding Target,2.34,2.48,73,7,0,3,0,0,74,5,0,2,3,0,NA,NA,NA,NA,NA,NA,4.82,3,3,3,2,2,3,0.0958904109589041,0,0.42857142857142855,0,0,1,0,0.4,0.6,0,5
EAST SIDE COMMUNITY SCHOOL,01M450,1,40.729153,-73.982474,"420 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,No,0.61,NA,0.01,0.11,0.21,0.53,0.74,0.12,0.97,0.05,0.92,Exceeding Target,0.95,Exceeding Target,0.92,Exceeding Target,0.96,Exceeding Target,0.88,Exceeding Target,0.95,Exceeding Target,Exceeding Target,2.82,2.9,60,3,0,0,2,1,56,9,1,2,4,2,NA,NA,NA,NA,NA,NA,5.72,4,4,4,4,4,4,0.05,0,0,0.6666666666666666,0.3333333333333333,1,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.2222222222222222,3
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",01M539,1,40.7195,-73.979239,"111 COLUMBIA ST NEW YORK, NY 10002",NEW YORK,10002,No,0.257,76833.96,0,0.33,0.09,0.11,0.2,0.42,0.97,0.03,0.81,Exceeding Target,0.73,Approaching Target,0.85,Meeting Target,0.55,Not Meeting Target,0.81,Approaching Target,0.74,Not Meeting Target,Exceeding Target,3.83,4.03,120,65,2,0,31,27,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,7.86,4,2,3,1,2,1,0.5416666666666666,0.03076923076923077,0,0.47692307692307695,0.4153846153846154,NaN,NaN,NaN,NaN,NaN,2
TOMPKINS SQUARE MIDDLE SCHOOL,01M839,1,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,No,0.597,NA,0.03,0.23,0.16,0.37,0.53,0.2,0.96,0.07,0.9,Exceeding Target,0.89,Exceeding Target,0.88,Meeting Target,0.86,Meeting Target,0.83,Meeting Target,0.94,Exceeding Target,Exceeding Target,2.92,3.01,75,12,0,5,2,0,59,5,0,2,1,0,NA,NA,NA,NA,NA,NA,5.93,4,4,3,3,3,4,0.16,0,0.4166666666666667,0.16666666666666666,0,1,0,0.4,0.2,0,7
P.S. 001 ALFRED E. SMITH,02M001,2,40.712561,-73.997474,"8 HENRY ST NEW YORK, NY 10038",NEW YORK,10038,No,0.769,32817.79,0.25,0.64,0.12,0.22,0.34,0.01,0.95,0.18,0.89,Meeting Target,0.91,Meeting Target,0.95,Meeting Target,0.86,Meeting Target,0.87,Meeting Target,0.94,Exceeding Target,Exceeding Target,2.59,3.14,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.73,3,3,3,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 002 MEYER LONDON,02M002,2,40.712943,-73.991557,"122 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,No,0.858,26114.78,0.36,0.85,0.04,0.09,0.13,0.01,0.98,0.06,0.93,Approaching Target,0.86,Meeting Target,0.94,Meeting Target,0.76,Approaching Target,0.83,Meeting Target,0.89,Meeting Target,Meeting Target,2.75,3.24,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.99,2,3,3,2,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 003 CHARRETTE SCHOOL,02M003,2,40.732632,-74.005947,"490 HUDSON ST NEW YORK, NY 10014",NEW YORK,10014,No,0.176,103399.19,0.04,0.07,0.05,0.12,0.18,0.7,0.95,0.13,0.97,Exceeding Target,0.93,Meeting Target,0.97,Meeting Target,0.93,Exceeding Target,0.96,Exceeding Target,0.95,Exceeding Target,Meeting Target,3.09,3.41,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.5,4,3,3,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 006 LILLIE D. BLAKE,02M006,2,40.777703,-73.960428,"45 E 81ST ST NEW YORK, NY 10028",NEW YORK,10028,No,0.101,144270.13,0.02,0.13,0.02,0.07,0.09,0.75,0.96,0.05,0.87,Meeting Target,0.9,Exceeding Target,0.95,Exceeding Target,0.87,Meeting Target,0.92,Exceeding Target,0.9,Meeting Target,Exceeding Target,3.4,3.71,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,7.109999999999999,3,4,4,3,4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 011 WILLIAM T. HARRIS,02M011,2,40.744549,-74.000737,"320 W 21ST ST NEW YORK, NY 10011",NEW YORK,10011,No,0.293,98455.77,0.03,0.14,0.07,0.25,0.32,0.49,0.96,0.1,0.93,Exceeding Target,0.93,Exceeding Target,0.98,Exceeding Target,0.91,Exceeding Target,0.93,Exceeding Target,0.95,Exceeding Target,Meeting Target,3.12,3.35,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.470000000000001,4,4,4,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 033 CHELSEA PREP,02M033,2,40.748945,-74.000243,"281 9TH AVE NEW YORK, NY 10001",NEW YORK,10001,No,0.43,88011.14,0.04,0.25,0.12,0.3,0.42,0.26,0.96,0.13,0.97,Exceeding Target,0.9,Exceeding Target,0.94,Exceeding Target,0.82,Meeting Target,0.92,Exceeding Target,0.89,Meeting Target,Meeting Target,3.04,3.4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.4399999999999995,4,4,4,3,4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 040 AUGUSTUS SAINT-GAUDENS,02M040,2,40.735118,-73.981697,"319 E 19TH ST NEW YORK, NY 10003",NEW YORK,10003,No,0.153,102421.46,0.03,0.09,0.03,0.13,0.16,0.64,0.96,0.07,0.97,Exceeding Target,0.94,Exceeding Target,0.99,Exceeding Target,0.91,Exceeding Target,0.96,Exceeding Target,0.96,Exceeding Target,Exceeding Target,3.39,3.65,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,7.04,4,4,4,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 041 GREENWICH VILLAGE,02M041,2,40.735526,-73.999113,"116 W 11TH ST NEW YORK, NY 10011",NEW YORK,10011,No,0.066,115909.89,0.02,0.09,0.02,0.1,0.11,0.69,0.97,0.02,0.95,Exceeding Target,0.96,Exceeding Target,0.98,Exceeding Target,0.92,Exceeding Target,0.95,Exceeding Target,0.98,Exceeding Target,Exceeding Target,3.44,3.7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,7.140000000000001,4,4,4,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 042 BENJAMIN ALTMAN,02M042,2,40.716136,-73.990841,"71 HESTER ST NEW YORK, NY 10002",NEW YORK,10002,No,0.785,NA,0.27,0.93,0,0.04,0.04,0.02,0.98,0.02,0.91,Exceeding Target,0.94,Meeting Target,0.96,Exceeding Target,0.89,Exceeding Target,0.85,Meeting Target,0.96,Exceeding Target,Exceeding Target,2.94,3.55,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.49,4,3,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 051 ELIAS HOWE,02M051,2,40.761593,-73.995590000000007,"525 W 44TH ST NEW YORK, NY 10036",NEW YORK,10036,No,0.626,91149.35,0.09,0.24,0.12,0.42,0.55,0.2,0.94,0.15,0.9,Meeting Target,0.95,Exceeding Target,0.97,Exceeding Target,0.91,Exceeding Target,0.89,Meeting Target,0.97,Exceeding Target,Exceeding Target,2.55,2.83,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.38,3,4,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 059 BEEKMAN HILL INTERNATIONAL,02M059,2,40.759213,-73.966183,"231-249 E 56TH ST NEW YORK, NY 10019",NEW YORK,10019,No,0.075,116235.64,0.04,0.15,0.02,0.13,0.15,0.59,0.96,0.06,0.87,Exceeding Target,0.87,Exceeding Target,0.95,Exceeding Target,0.76,Approaching Target,0.94,Exceeding Target,0.89,Meeting Target,Exceeding Target,3.24,3.62,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.86,4,4,4,2,4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 77 LOWER LAB SCHOOL,02M077,2,40.785014,-73.950031,"1700 3RD AVE NEW YORK, NY 10128",NEW YORK,10128,No,0.069,105947.71,0,0.27,0,0.05,0.06,0.59,0.97,0.01,0.93,Exceeding Target,0.96,Exceeding Target,0.98,Exceeding Target,0.93,Exceeding Target,0.95,Exceeding Target,0.99,Exceeding Target,Exceeding Target,3.73,3.91,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,7.640000000000001,4,4,4,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 89,02M089,2,40.716867,-74.013623,"201 WARREN ST NEW YORK, NY 10282",NEW YORK,10282,No,0.068,181382.06,0.04,0.16,0.02,0.14,0.16,0.62,0.96,0.06,0.95,Meeting Target,0.94,Meeting Target,0.98,Exceeding Target,0.9,Exceeding Target,0.93,Exceeding Target,0.97,Exceeding Target,Exceeding Target,3.23,3.71,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.9399999999999995,3,3,4,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
J.H.S. 104 SIMON BARUCH,02M104,2,40.735735,-73.980611,"330 E 21ST ST NEW YORK, NY 10010",NEW YORK,10010,No,0.522,NA,0.05,0.4,0.08,0.21,0.29,0.28,0.96,0.11,0.87,Meeting Target,0.89,Exceeding Target,0.85,Meeting Target,0.84,Meeting Target,0.7,Approaching Target,0.92,Meeting Target,Exceeding Target,3.05,3.25,318,67,5,6,27,28,213,23,0,2,17,4,NA,NA,NA,NA,NA,NA,6.3,3,4,3,3,2,3,0.21069182389937108,0.07462686567164178,0.08955223880597014,0.40298507462686567,0.417910447761194,1,0,0.08695652173913043,0.7391304347826086,0.17391304347826086,13
P.S. 111 ADOLPH S. OCHS,02M111,2,40.765834,-73.989602,"440 W 53RD ST NEW YORK, NY 10019",NEW YORK,10019,No,0.645,70970.41,0.12,0.18,0.16,0.5,0.66,0.13,0.92,0.26,0.89,Approaching Target,0.79,Approaching Target,0.81,Approaching Target,0.74,Approaching Target,0.88,Meeting Target,0.86,Meeting Target,Meeting Target,2.39,2.47,47,6,1,3,1,0,47,6,1,3,2,0,NA,NA,NA,NA,NA,NA,4.86,2,2,2,2,3,3,0.1276595744680851,0.16666666666666666,0.5,0.16666666666666666,0,1,0.16666666666666666,0.5,0.3333333333333333,0,8
EAST SIDE MIDDLE SCHOOL,02M114,2,40.780646,-73.947544,"331 E 91ST ST NEW YORK, NY 10028",NEW YORK,10028,No,0.104,NA,0,0.15,0.03,0.09,0.12,0.66,0.98,0.02,0.92,Exceeding Target,0.96,Exceeding Target,0.92,Exceeding Target,0.94,Exceeding Target,0.82,Meeting Target,0.96,Exceeding Target,Exceeding Target,3.66,3.94,146,88,1,9,15,59,146,91,2,9,18,57,NA,NA,NA,NA,NA,NA,7.6,4,4,4,4,3,4,0.6027397260273972,0.011363636363636364,0.10227272727272728,0.17045454545454544,0.6704545454545454,1,0.02197802197802198,0.0989010989010989,0.1978021978021978,0.6263736263736264,21
P.S. 116 MARY LINDLEY MURRAY,02M116,2,40.744425,-73.977634,"210 E 33RD ST NEW YORK, NY 10016",NEW YORK,10016,No,0.307,96174.16,0.11,0.2,0.09,0.22,0.3,0.44,0.95,0.14,0.92,Exceeding Target,0.92,Exceeding Target,0.95,Meeting Target,0.83,Meeting Target,0.9,Exceeding Target,0.92,Meeting Target,Meeting Target,3.07,3.17,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.24,4,4,3,3,4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 124 YUNG WING,02M124,2,40.714426,-73.995526,"40 DIVISION ST NEW YORK, NY 10002",NEW YORK,10002,No,0.578,42493.71,0.29,0.95,0,0.03,0.03,0.01,0.98,0.02,0.83,Approaching Target,0.77,Approaching Target,0.94,Exceeding Target,0.65,Approaching Target,0.8,Approaching Target,0.85,Meeting Target,Exceeding Target,3.1,3.55,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.65,2,2,4,2,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 126 JACOB AUGUST RIIS,02M126,2,40.710448,-73.997001,"80 CATHERINE ST NEW YORK, NY 10038",NEW YORK,10038,No,0.728,38919.61,0.17,0.59,0.11,0.21,0.32,0.08,0.96,0.1,0.91,Exceeding Target,0.93,Exceeding Target,0.91,Exceeding Target,0.89,Exceeding Target,0.82,Approaching Target,0.95,Exceeding Target,Exceeding Target,2.93,3.29,103,42,0,6,27,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.220000000000001,4,4,4,4,2,4,0.4077669902912621,0,0.14285714285714285,0.6428571428571429,0.19047619047619047,NaN,NaN,NaN,NaN,NaN,6
P.S. 130 HERNANDO DE SOTO,02M130,2,40.718819,-73.998263,"143 BAXTER ST NEW YORK, NY 10013",NEW YORK,10013,No,0.616,59851.21,0.13,0.88,0.01,0.05,0.06,0.03,0.99,0.02,0.98,Meeting Target,0.97,Exceeding Target,0.97,Exceeding Target,0.96,Exceeding Target,0.9,Exceeding Target,0.99,Exceeding Target,Exceeding Target,3.09,3.61,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.699999999999999,3,4,4,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
